id,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo
2,0.0581663315,0.0837634553,0.111797355,0.1953458884,0.309186563,0.2721584515,0.11875499269999999,0.1752611157,0.3664145567,0.4273280406,0.3090535336,0.1058934447,0.0959734233,0.127825535,0.18148227399999997,0.1442842042,0.1567476248,0.14385246880000002,0.0810492754,0.1466194063,0.1890360405,0.2225295873,0.2136069316,0.1316965622,-203.7014282997,124.1128335598,-15.8360697574,31.802807983,5.6062516637,14.203629982899999,3.9423291214,1.5082979866,0.016055548200000002,7.7009931027,-4.8526505338999995,6.0146871404999995,1.5041920975999998,40.680841450100004,16.9889858095,14.867707473,14.5142792553,11.7056572247,9.0662369015,8.2303232982,8.171756670499999,6.837469091900001,10.587459203,8.879512544199999,7.450895969099999,7.9190372168,1792.8316581144,492.14530696459997,1.7235095856,26.7610138782,22.7771856798,24.8345624682,22.6609855344,23.085517344,22.8667974245,36.292325501,5.2174401252,4.6040145328,5.1715200626,3.9152722767,3.1040609849000003,3.9043185447,3.2867244099,3780.8688085636,1142.3289141257,1142.3289141257,0.0466234383,0.0166537712,0.4610787869,143.5546875
3,0.13450979130000001,0.1211054425,0.10773633140000001,0.2478594838,0.3278769173,0.2278340109,0.14447650380000002,0.1550966088,0.2307909901,0.2099934887,0.16621141849999999,0.1733132688,0.2011614484,0.1785149594,0.17175820719999998,0.2196848996,0.266220477,0.21787505940000002,0.186672416,0.2045292203,0.2299485642,0.2754542137,0.189695272,0.1580520585,-297.4387820961,138.613307948,8.3010572748,49.3027200268,23.4859286692,28.6995792182,24.6883713589,15.1930005429,14.8712959221,12.1175372634,1.4116008963,-0.1618905031,2.3212601465000002,25.951709825500004,17.2069957964,10.0653792408,9.7792165637,9.6304555363,9.7004889233,8.9602910166,8.658880122000001,7.1820495447,7.4840621882,6.5743224513,7.2181339034,10.3331234705,962.6697077388001,494.660582368,1.7899300359,28.8988510437,22.5086043283,24.6205144028,26.5297842784,24.9600118229,27.039473492800003,40.6107019714,5.595367674099999,4.4725892163,3.8914295131,3.1753230838,3.0123814481,4.313964689700001,4.4744485565,2063.9852685044,1366.1897193933999,1366.1897193933999,0.0194809117,0.0113469958,1.4660976058000001,95.703125
4,0.153584091,0.12564133859999999,0.1012819189,0.1931655091,0.2990358005,0.2177937905,0.1297621144,0.19182064969999998,0.40113957479999995,0.4894957262,0.3547572875,0.167147911,0.1515256601,0.1420720849,0.127233415,0.1028905403,0.09729215390000001,0.07661229280000001,0.1114272229,0.1323296494,0.1023236465,0.15033355810000001,0.09599505970000001,0.1038658244,-166.7438711942,113.1796550367,-7.0284779383,37.1637151105,31.7655678938,13.260505179,-0.5712575289,4.5983828808,-1.7952106993999999,2.8492305896,-0.7197913645999999,6.461380568200001,-5.1318404374,49.514194463900004,25.621566251100003,14.1442940178,12.9381689704,8.4975742791,6.9413920715,7.244047972000001,6.4361149565,7.4661303732,6.4991752186000005,5.519441195900001,5.7653132928,6.543929189,1662.4427114458,533.3235845445,1.2517687131,28.6607897697,20.8683611073,25.2620722739,24.141036925399998,24.6544278476,22.457635252,42.0939128446,7.5015201166,4.8091153165,4.8812787171,4.1939587795,3.6930091937,3.939071817,4.8388076404,3337.8684761597997,1246.2756499495,1246.2756499495,0.0604907478,0.0310880602,1.2422465499,172.265625
5,0.2890296938,0.20797033539999998,0.2813198157,0.34263689740000003,0.2488321874,0.24944122149999998,0.3264861469,0.1990937234,0.09430207119999999,0.0717406193,0.2447516314,0.33761268759999996,0.0783315732,0.1794785552,0.12594860119999998,0.17413593309999997,0.1370298589,0.0975483233,0.1470122349,0.1034755203,0.1414234354,0.09917946289999999,0.133916827,0.159548877,-202.51886199310002,124.40422785850001,2.6582425526,29.0877895547,-7.5329281175,-13.768730564,-9.6563727384,-13.5386532073,-13.8761346332,-15.1333427387,-11.391173650899999,-11.4330566727,-16.9792763183,43.8773948417,21.9794268374,12.5709076723,11.399147329100002,9.6628244238,11.4406453218,8.6953072642,8.478641725800001,8.3872869613,8.9350617133,9.611005395,7.0719869798,13.1082376251,1600.7975039022,611.6619732192,2.2482512827,36.9174872023,22.496500302199998,28.4094374245,28.3843391431,25.4356212083,26.223877746,35.9788400398,5.4094148786,4.2779370722,4.1582240797,3.9059325712,3.9681697015,5.0579965439,4.3769638957,3241.5850893001,1366.5593276663,1366.5593276663,0.050490546500000004,0.0173861879,0.4662997647,123.046875
7,0.20442687329999998,0.16793293920000002,0.1945944374,0.2793353575,0.2814892624,0.3015460287,0.2578604785,0.20442062870000002,0.17526681370000002,0.1363745857,0.2222954341,0.2510430499,0.1617822404,0.1271903284,0.1548921527,0.1939029723,0.2138754107,0.2144204156,0.13380882970000002,0.16830278769999998,0.182150975,0.1645426485,0.18948744809999998,0.18937674170000002,-231.1318790044,125.2941200118,29.3223328963,50.532859969700006,20.5124978612,32.6624051193,10.1272901137,12.312316528499998,-3.1787099036,0.3314170694,-0.18172031800000002,4.0073972983,2.4364548391,29.9416702421,16.6392483244,9.5545083461,6.7775279925,6.3281714199,5.8756787975,7.964904677000001,7.6596902247,7.0790029111,8.00860206,6.9506761564,6.9918377448,6.9685781338999995,1256.7602844447001,508.4283517919,0.5483214063,31.7558076615,18.4213930897,24.1919264232,19.3495517997,17.6405951614,15.8110251174,37.4686701758,5.0831153896,4.1126919613999995,4.9736287848,3.4189099382,2.9790262676999997,1.9806891059,2.4743916872,3002.6115877366997,1669.470586825,1669.470586825,0.0137755184,0.0063866403,2.029871086,117.45383522729999
8,0.3096572571,0.251682086,0.15819718130000002,0.2187371806,0.2983471324,0.1980056424,0.0814507342,0.168415725,0.30394212870000004,0.3403012411,0.3436847477,0.307248387,0.1664671134,0.1092301379,0.10832562789999998,0.10224582730000001,0.20382708719999998,0.122783705,0.0624149201,0.11630709480000001,0.10811720949999999,0.1391870664,0.1033791834,0.0796823228,-386.2841333196,154.8754409085,91.34077885709999,41.015986239,14.422515434400001,16.411759768699998,3.3184303435,3.8238921905,0.3660813964,1.9180343030000002,2.0618958578,-0.4832243098,-2.3407176057,38.9824052945,25.5074176144,17.239776681400002,17.5453075451,10.6929489062,11.742827713699999,8.2281209953,5.9924885074,5.9901053735000005,6.7551145003999995,6.3716335827999995,5.2329752059,5.3025547712,1183.9939233709,1157.8459172558,1.2743389716,28.768503666199997,23.790993916199998,25.403356576900002,24.511912989299997,19.5213577385,17.898311215699998,37.0960327939,5.1860528288,4.2791685106,4.625816174,5.1601959948000005,4.0610795686,2.6577574554,5.1265313766,2545.0448886689,3001.9008056872,3001.9008056872,0.0180731984,0.0095249242,0.6549044584,161.4990234375
10,0.2488056641,0.2526642958,0.2344859084,0.2176863016,0.2108838087,0.1938675317,0.2001957684,0.20318237260000002,0.24049196420000002,0.2755139947,0.2399724684,0.19362605559999999,0.18438507129999998,0.1537371461,0.187271728,0.1862673358,0.1824005353,0.1668914152,0.1763428871,0.1659433623,0.1534360408,0.2147948391,0.1743637193,0.1800202148,-348.6001953337,149.7577231809,8.0894974088,22.269816147399997,28.320594320599998,2.0432120737,6.132174745,11.8928734146,4.686411562,-1.1096048041,-0.6703635319,2.78297871,-4.6719821275,46.1218635054,26.9167894575,32.3448908362,13.2763255351,12.296023390699999,12.540269328099999,11.8849442608,10.8326921697,10.9086669331,12.7705600075,14.1099125626,12.8591839302,13.7434586446,1601.5193276346,849.2188542846001,0.8457509075,27.6084161811,23.132704113699997,29.5156485941,29.226053866399997,28.1422616021,23.120967809099998,36.615460998,6.6817501765,5.4618794979,5.9660239190999995,5.8046611724,6.159398650599999,5.1723368019,3.6381709827999997,3374.6667310665002,2299.2298089698,2299.2298089698,0.0632738038,0.042108903899999994,1.0000534007,184.5703125
12,0.3690847248,0.2723543556,0.1895686134,0.2321892752,0.2385212883,0.1948792543,0.238990354,0.2629365106,0.1778494264,0.1364492528,0.18711760510000003,0.3409556969,0.2093696531,0.1335061723,0.1410499115,0.18077155809999998,0.1682119971,0.1584716942,0.1212862408,0.1454584894,0.0988100414,0.1343732798,0.16194740470000002,0.1398567016,-176.84589622200002,108.8076816779,29.1154497865,38.057753899,10.8354721121,11.981400589300002,-3.8839914869,5.8837611873,-5.9298395854,-2.3994845821,-6.6527789788,-2.8446300206,-12.8657753766,64.0140266576,35.6658481262,17.800160826400003,14.1361489152,10.137324923,10.8054418132,8.9665344102,8.8478599535,8.104932583,7.9145455169000005,6.901568724600001,7.0434760963,7.7420475931,2082.4472176235,1052.8973919112,0.3571741287,32.9780145867,20.7666787354,21.0764964073,17.9481043615,17.5092069791,18.3590583772,37.3361857316,6.7010522944,5.441547139500001,5.3207561327,4.4224752150999995,3.2797830381999997,3.4859243497000003,3.1677077986,4664.4734260288,2487.1394980164,2487.1394980164,0.0434270954,0.0402380896,3.8370385502,92.28515625
13,0.3029932298,0.2797667483,0.2176280764,0.1470721915,0.1401558987,0.1903376279,0.2056596537,0.19082407920000002,0.13190793509999998,0.1717288357,0.1919865262,0.3230261889,0.2594106405,0.165233637,0.19966115010000002,0.15474629869999998,0.1387992354,0.2199832777,0.1411314636,0.201009495,0.1328105796,0.2083854022,0.2461886205,0.1737718064,-260.5001079949,120.3665421792,8.8973751735,40.2607872425,6.5995192509,2.6459654127000003,3.9274026526,-1.7767008132,-10.946143749500001,-4.8139067472,-12.9720828519,-11.4928310346,-12.1653187578,50.830624791700004,22.397352251399997,13.7520563971,11.503604904400001,10.6412932286,11.0275168646,9.232873486699999,8.953686645,8.6086504414,9.9805165075,9.7807343075,11.774980684900001,8.6886245175,1533.9802842464,821.0679943646,1.7857598658000002,36.1326970915,24.5242930498,29.005849368099998,27.6837653744,24.775263398299998,26.9047745015,35.9296355394,5.5586600508,4.2595338938,4.3981929162,4.1696130451,4.430961488,4.802437465,4.640397925899999,3106.3503731163,1759.1625270257998,1759.1625270257998,0.0338591979,0.0193447314,1.1027089968000001,151.9990808824
17,0.1709606155,0.2264234884,0.2474341597,0.1295838585,0.1175818888,0.19908398300000002,0.38955322,0.5241619974,0.3814412458,0.11781366800000001,0.12428839970000001,0.15144523710000002,0.1619660763,0.1396126545,0.1201982579,0.0877160085,0.0749868541,0.0678955495,0.10280442070000001,0.1297093471,0.11272986509999999,0.08593160720000001,0.1395831915,0.136758133,-151.18353197780002,112.44178329040001,-5.0736644262,39.8879038299,-1.2428509009,16.1731120978,2.6557901043000003,7.2682806486,-7.7152035738,-5.8913250202,-11.2509411308,-1.7627352233000002,-1.6837717322,50.964475486000005,27.235193764,14.447555115,10.6886048048,8.7180929145,8.3560859148,8.2658709604,7.6963226604,7.5553356609,8.5938925881,8.888732324600001,8.019546802,7.648243067799999,1889.9509865041,637.7504385416,0.2243048971,26.190946607399997,23.1432891327,25.8074060327,24.919031075,21.642776914000002,21.1724615317,38.545061317800005,6.777082221000001,4.5109955521,5.1572804913,4.2922739146,4.0272243397,4.0568921493,3.6070059358999997,4170.4245330009,1423.1973627645998,1423.1973627645998,0.0521344004,0.0312138927,1.7508955703,107.666015625
